match_id,match_name,home_team,away_team,venue,city,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut
1298173,ENG v SL,SL,ENG,Sydney Cricket Ground,Sydney,SL,1,P Nissanka,Pathum Nissanka,67,45,70,2,5,148.88,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AUS,1,MR Marsh,Mitchell Marsh,45,30,42,3,2,150,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AUS,1,MP Stoinis,Marcus Stoinis,25,21,41,0,2,119.04,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AUS,1,GJ Maxwell,Glenn Maxwell,54,32,46,6,2,168.75,0,1
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AFG,2,Rahmanullah Gurbaz,Rahmanullah Gurbaz,30,17,31,2,2,176.47,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AFG,2,Gulbadin Naib,Gulbadin Naib,39,23,38,3,2,169.56,0,0
1298172,AUS v AFG,AUS,AFG,Adelaide Oval,Adelaide,AFG,2,Rashid Khan,Rashid Khan,48,23,27,3,4,208.69,0,1
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,NZ,1,KS Williamson,Kane Williamson,61,35,59,5,3,174.28,1,0
1298171,IRE v NZ,NZ,IRE,Adelaide Oval,Adelaide,IRE,2,A Balbirnie,Andy Balbirnie,30,25,36,0,3,120,1,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,PAK,1,Mohammad Haris,Mohammad Haris,28,11,19,2,3,254.54,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,PAK,1,Iftikhar Ahmed,Iftikhar Ahmed,51,35,73,3,2,145.71,0,0
1298170,PAK v SA,PAK,SA,Sydney Cricket Ground,Sydney,PAK,1,Shadab Khan,Shadab Khan,52,22,31,3,4,236.36,0,0
1298169,BAN v INDIA,INDIA,BAN,Adelaide Oval,Adelaide,INDIA,1,KL Rahul,KL Rahul,50,32,49,3,4,156.25,0,0
1298169,BAN v INDIA,INDIA,BAN,Adelaide Oval,Adelaide,BAN,2,Liton Das,Litton Das,60,27,40,7,3,222.22,0,0
1298168,NED v ZIM,ZIM,NED,Adelaide Oval,Adelaide,ZIM,1,Sikandar Raza,Sikandar Raza,40,24,46,3,3,166.66,0,0
1298167,ENG v NZ,ENG,NZ,Brisbane Cricket Ground,Brisbane,ENG,1,JC Buttler,Jos Buttler,73,47,82,7,2,155.31,1,0
